Ответы;Филлер/стимул;Вопрос/восклицание;single/pair интерпретация;порядок;2аргумента/1аргумент+1адъюнкт;есть сочинение/нет сочинения;id респонденты;пол;возраст;уровень образования;сфера;предложения;правильность филлера;номер предложения
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id8;Женский;20;Среднее общее;Учеба;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id9;Мужской;20;Неоконченное высшее;Учеба;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id10;Мужской;20;Среднее профессиональное;МЧС;sentence2.1; - ;21A
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id11;Женский;20;Неоконченное высшее;Прочее;sentence2.1; - ;21A
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id12;Мужской;26;Среднее общее;Прочее;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id13;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id14;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id15;Женский;21;Неоконченное высшее;Преподавание;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id16;Женский;21;Неоконченное высшее;Медицина;sentence2.1; - ;21A
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id17;Мужской;20;Неоконченное высшее;Прочее;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id18;Женский;20;Неоконченное высшее;Медицина;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id19;Мужской;23;Среднее профессиональное;Искусство;sentence2.1; - ;21A
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id20;Мужской;24;Высшее;Химическая промышленность;sentence2.1; - ;21A
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id21;Женский;24;Высшее;Медицина;sentence2.1; - ;21A
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence2.1; - ;21A
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id23;Мужской;30;Высшее;Маркетинг;sentence2.1; - ;21A
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id24;Женский;29;Высшее;IT;sentence2.1; - ;21A
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;non-coord;id25;Мужской;30;Высшее;IT;sentence2.1; - ;21A
3;филлер;вопрос;single; - ; - ; - ;id1;Мужской;20;Неоконченное среднее профессиональное;IT;filler4.1;правильная интерпретация;3C
3;филлер;вопрос;single; - ; - ; - ;id2;Мужской;20;Неоконченное высшее;IT;filler4.1;правильная интерпретация;3C
1;филлер;вопрос;single; - ; - ; - ;id3;Мужской;23;Среднее профессиональное;IT;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id5;Женский;27;Высшее;Преподавание;filler4.1;правильная интерпретация;3C
2;филлер;вопрос;single; - ; - ; - ;id6;Мужской;25;Высшее;Инженерное дело;filler4.1;правильная интерпретация;3C
4;филлер;вопрос;single; - ; - ; - ;id7;Женский;20;Неоконченное высшее;Экономика;filler4.1;правильная интерпретация;3C
4;филлер;вопрос;single; - ; - ; - ;id8;Женский;20;Среднее общее;Учеба;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id9;Мужской;20;Неоконченное высшее;Учеба;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id10;Мужской;20;Среднее профессиональное;МЧС;filler4.1;правильная интерпретация;3C
1;филлер;вопрос;single; - ; - ; - ;id11;Женский;20;Неоконченное высшее;Прочее;filler4.1;правильная интерпретация;3C
1;филлер;вопрос;single; - ; - ; - ;id12;Мужской;26;Среднее общее;Прочее;filler4.1;правильная интерпретация;3C
4;филлер;вопрос;single; - ; - ; - ;id13;Женский;20;Неоконченное высшее;Медицина;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id14;Женский;20;Неоконченное высшее;Медицина;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id15;Женский;21;Неоконченное высшее;Преподавание;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id16;Женский;21;Неоконченное высшее;Медицина;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id17;Мужской;20;Неоконченное высшее;Прочее;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id18;Женский;20;Неоконченное высшее;Медицина;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id19;Мужской;23;Среднее профессиональное;Искусство;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id20;Мужской;24;Высшее;Химическая промышленность;filler4.1;правильная интерпретация;3C
1;филлер;вопрос;single; - ; - ; - ;id21;Женский;24;Высшее;Медицина;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id22;Мужской;22;Среднее профессиональное;Преподавание;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id23;Мужской;30;Высшее;Маркетинг;filler4.1;правильная интерпретация;3C
5;филлер;вопрос;single; - ; - ; - ;id24;Женский;29;Высшее;IT;filler4.1;правильная интерпретация;3C
4;филлер;вопрос;single; - ; - ; - ;id25;Мужской;30;Высшее;IT;filler4.1;правильная интерпретация;3C
5;филлер;восклицание;single; - ; - ; - ;id1;Мужской;20;Неоконченное среднее профессиональное;IT;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id2;Мужской;20;Неоконченное высшее;IT;filler5.1;правильная интерпретация;19C
1;филлер;восклицание;single; - ; - ; - ;id3;Мужской;23;Среднее профессиональное;IT;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id5;Женский;27;Высшее;Преподавание;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id6;Мужской;25;Высшее;Инженерное дело;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id7;Женский;20;Неоконченное высшее;Экономика;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id8;Женский;20;Среднее общее;Учеба;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id9;Мужской;20;Неоконченное высшее;Учеба;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id10;Мужской;20;Среднее профессиональное;МЧС;filler5.1;правильная интерпретация;19C
1;филлер;восклицание;single; - ; - ; - ;id11;Женский;20;Неоконченное высшее;Прочее;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id12;Мужской;26;Среднее общее;Прочее;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id13;Женский;20;Неоконченное высшее;Медицина;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id14;Женский;20;Неоконченное высшее;Медицина;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id15;Женский;21;Неоконченное высшее;Преподавание;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id16;Женский;21;Неоконченное высшее;Медицина;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id17;Мужской;20;Неоконченное высшее;Прочее;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id18;Женский;20;Неоконченное высшее;Медицина;filler5.1;правильная интерпретация;19C
1;филлер;восклицание;single; - ; - ; - ;id19;Мужской;23;Среднее профессиональное;Искусство;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id20;Мужской;24;Высшее;Химическая промышленность;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id21;Женский;24;Высшее;Медицина;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id22;Мужской;22;Среднее профессиональное;Преподавание;filler5.1;правильная интерпретация;19C
5;филлер;восклицание;single; - ; - ; - ;id23;Мужской;30;Высшее;Маркетинг;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id24;Женский;29;Высшее;IT;filler5.1;правильная интерпретация;19C
4;филлер;восклицание;single; - ; - ; - ;id25;Мужской;30;Высшее;IT;filler5.1;правильная интерпретация;19C
2;филлер;восклицание;single; - ; - ; - ;id1;Мужской;20;Неоконченное среднее профессиональное;IT;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id2;Мужской;20;Неоконченное высшее;IT;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id3;Мужской;23;Среднее профессиональное;IT;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id5;Женский;27;Высшее;Преподавание;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id6;Мужской;25;Высшее;Инженерное дело;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id7;Женский;20;Неоконченное высшее;Экономика;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id8;Женский;20;Среднее общее;Учеба;filler6.1;неправильная интерпретация;26C
5;филлер;восклицание;single; - ; - ; - ;id9;Мужской;20;Неоконченное высшее;Учеба;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id10;Мужской;20;Среднее профессиональное;МЧС;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id11;Женский;20;Неоконченное высшее;Прочее;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id12;Мужской;26;Среднее общее;Прочее;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id13;Женский;20;Неоконченное высшее;Медицина;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id14;Женский;20;Неоконченное высшее;Медицина;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id15;Женский;21;Неоконченное высшее;Преподавание;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id16;Женский;21;Неоконченное высшее;Медицина;filler6.1;неправильная интерпретация;26C
3;филлер;восклицание;single; - ; - ; - ;id17;Мужской;20;Неоконченное высшее;Прочее;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id18;Женский;20;Неоконченное высшее;Медицина;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id19;Мужской;23;Среднее профессиональное;Искусство;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id20;Мужской;24;Высшее;Химическая промышленность;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id21;Женский;24;Высшее;Медицина;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id22;Мужской;22;Среднее профессиональное;Преподавание;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id23;Мужской;30;Высшее;Маркетинг;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id24;Женский;29;Высшее;IT;filler6.1;неправильная интерпретация;26C
1;филлер;восклицание;single; - ; - ; - ;id25;Мужской;30;Высшее;IT;filler6.1;неправильная интерпретация;26C
4;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;non-coord;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence3.1; - ;13A
5;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;non-coord;id2;Мужской;20;Неоконченное высшее;IT;sentence3.1; - ;13A
2;стимул;восклицание;single;X аргумент -Y аргумент;2 аргумента;non-coord;id3;Мужской;23;Среднее профессиональное;IT;sentence3.1; - ;13A
