answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
3;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id41;Мужской;20;Неоконченное высшее;Туризм;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence14.2; - ;7A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id44;Мужской;29;Высшее;Логистика;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence14.2; - ;7A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id46;Женский;24;Высшее;IT;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence14.2; - ;7A;indirect
1;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence14.2; - ;7A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence14.2; - ;7A;indirect
3;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence2.2; - ;21A;indirect
3;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence2.2; - ;21A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence2.2; - ;21A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence2.2; - ;21A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence2.2; - ;21A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id32;Женский;20;Основное общее;Лингвистика;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id33;Мужской;25;Высшее;IT;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence2.2; - ;21A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id36;Женский;20;Основное общее;Учеба;sentence2.2; - ;21A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence2.2; - ;21A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence2.2; - ;21A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence2.2; - ;21A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id41;Мужской;20;Неоконченное высшее;Туризм;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence2.2; - ;21A;indirect
1;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence2.2; - ;21A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id44;Мужской;29;Высшее;Логистика;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence2.2; - ;21A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id46;Женский;24;Высшее;IT;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence2.2; - ;21A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence2.2; - ;21A;indirect
3;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id27;Женский;20;Неоконченное высшее;Преподавание;sentence1.2; - ;23A;direct
2;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id29;Мужской;20;Неоконченное высшее;Искусство;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id30;Женский;20;Неоконченное высшее;Экономика;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence1.2; - ;23A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id32;Женский;20;Основное общее;Лингвистика;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id33;Мужской;25;Высшее;IT;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id34;Женский;21;Неоконченное высшее;Журналистика;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id36;Женский;20;Основное общее;Учеба;sentence1.2; - ;23A;direct
1;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id37;Женский;20;Неоконченное высшее;Филология;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id38;Мужской;20;Неоконченное высшее;Учеба;sentence1.2; - ;23A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence1.2; - ;23A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id41;Мужской;20;Неоконченное высшее;Туризм;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id42;Мужской;22;Высшее;Юриспруденция;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence1.2; - ;23A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id44;Мужской;29;Высшее;Логистика;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id45;Мужской;25;Высшее;Инженерное дело;sentence1.2; - ;23A;direct
1;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id46;Женский;24;Высшее;IT;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id48;Женский;23;Среднее профессиональное;Работа;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence1.2; - ;23A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;нет;id50;Женский;20;Среднее профессиональное;Работа;sentence1.2; - ;23A;direct
3;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence8.2; - ;17A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence8.2; - ;17A;indirect
3;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id29;Мужской;20;Неоконченное высшее;Искусство;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence8.2; - ;17A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence8.2; - ;17A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id32;Женский;20;Основное общее;Лингвистика;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id33;Мужской;25;Высшее;IT;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id36;Женский;20;Основное общее;Учеба;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id37;Женский;20;Неоконченное высшее;Филология;sentence8.2; - ;17A;indirect
3;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id38;Мужской;20;Неоконченное высшее;Учеба;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id41;Мужской;20;Неоконченное высшее;Туризм;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id42;Мужской;22;Высшее;Юриспруденция;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence8.2; - ;17A;indirect
3;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id44;Мужской;29;Высшее;Логистика;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id45;Мужской;25;Высшее;Инженерное дело;sentence8.2; - ;17A;indirect
4;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id46;Женский;24;Высшее;IT;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence8.2; - ;17A;indirect
2;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id48;Женский;23;Среднее профессиональное;Работа;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence8.2; - ;17A;indirect
5;стимул;вопрос;pair;адъюнкт-аргумент;аргумент+адъюнкт;да;id50;Женский;20;Среднее профессиональное;Работа;sentence8.2; - ;17A;indirect
3;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence16.2; - ;3A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id29;Мужской;20;Неоконченное высшее;Искусство;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence16.2; - ;3A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id32;Женский;20;Основное общее;Лингвистика;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id33;Мужской;25;Высшее;IT;sentence16.2; - ;3A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id36;Женский;20;Основное общее;Учеба;sentence16.2; - ;3A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id37;Женский;20;Неоконченное высшее;Филология;sentence16.2; - ;3A;indirect
3;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id38;Мужской;20;Неоконченное высшее;Учеба;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id41;Мужской;20;Неоконченное высшее;Туризм;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id42;Мужской;22;Высшее;Юриспруденция;sentence16.2; - ;3A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id44;Мужской;29;Высшее;Логистика;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id45;Мужской;25;Высшее;Инженерное дело;sentence16.2; - ;3A;indirect
4;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id46;Женский;24;Высшее;IT;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id48;Женский;23;Среднее профессиональное;Работа;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id49;Женский;27;Среднее профессиональное;Ресторанный бизнес;sentence16.2; - ;3A;indirect
5;стимул;вопрос;pair;Y аргумент - X аргумент;2 аргумента;да;id50;Женский;20;Среднее профессиональное;Работа;sentence16.2; - ;3A;indirect
3;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id26;Женский;20;Неоконченное высшее;Лингвистика;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id27;Женский;20;Неоконченное высшее;Преподавание;sentence5.2; - ;19A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id28;Женский;21;Неоконченное высшее;Государственное и муниципальное управление;sentence5.2; - ;19A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id29;Мужской;20;Неоконченное высшее;Искусство;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id30;Женский;20;Неоконченное высшее;Экономика;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id31;Мужской;20;Неоконченное высшее;Государственное и муниципальное управление;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id32;Женский;20;Основное общее;Лингвистика;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id33;Мужской;25;Высшее;IT;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id34;Женский;21;Неоконченное высшее;Журналистика;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id35;Женский;23;Среднее профессиональное;Сфера обслуживания;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id36;Женский;20;Основное общее;Учеба;sentence5.2; - ;19A;direct
3;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id37;Женский;20;Неоконченное высшее;Филология;sentence5.2; - ;19A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id38;Мужской;20;Неоконченное высшее;Учеба;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id39;Мужской;26;Среднее профессиональное;Телевидение;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id40;Мужской;20;Неоконченное среднее профессиональное;IT;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id41;Мужской;20;Неоконченное высшее;Туризм;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id42;Мужской;22;Высшее;Юриспруденция;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id43;Мужской;24;Среднее профессиональное;Сфера обслуживания;sentence5.2; - ;19A;direct
4;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id44;Мужской;29;Высшее;Логистика;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id45;Мужской;25;Высшее;Инженерное дело;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id46;Женский;24;Высшее;IT;sentence5.2; - ;19A;direct
5;стимул;вопрос;pair;аргумент-адъюнкт;аргумент+адъюнкт;да;id47;Мужской;20;Неоконченное среднее профессиональное;IT;sentence5.2; - ;19A;direct
