answers;Филлер/стимул;sent_type;single/pair;порядок;syntacticrole;cordination;id;пол;возраст;уровень образования;сфера;sentence;правильность филлера;номер предложения;order
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id5;Женский;27;Высшее;Преподавание;sentence7.1; - ;1A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id6;Мужской;25;Высшее;Инженерное дело;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence7.1; - ;1A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id8;Женский;20;Среднее общее;Учеба;sentence7.1; - ;1A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id9;Мужской;20;Неоконченное высшее;Учеба;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence7.1; - ;1A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id11;Женский;20;Неоконченное высшее;Прочее;sentence7.1; - ;1A;direct
3;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id12;Мужской;26;Среднее общее;Прочее;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence7.1; - ;1A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id17;Мужской;20;Неоконченное высшее;Прочее;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence7.1; - ;1A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id21;Женский;24;Высшее;Медицина;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence7.1; - ;1A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id23;Мужской;30;Высшее;Маркетинг;sentence7.1; - ;1A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id24;Женский;29;Высшее;IT;sentence7.1; - ;1A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;да;id25;Мужской;30;Высшее;IT;sentence7.1; - ;1A;direct
2;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence8.1; - ;17A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id2;Мужской;20;Неоконченное высшее;IT;sentence8.1; - ;17A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id3;Мужской;23;Среднее профессиональное;IT;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence8.1; - ;17A;indirect
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id5;Женский;27;Высшее;Преподавание;sentence8.1; - ;17A;indirect
2;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id6;Мужской;25;Высшее;Инженерное дело;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id7;Женский;20;Неоконченное высшее;Экономика;sentence8.1; - ;17A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id8;Женский;20;Среднее общее;Учеба;sentence8.1; - ;17A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id9;Мужской;20;Неоконченное высшее;Учеба;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id10;Мужской;20;Среднее профессиональное;МЧС;sentence8.1; - ;17A;indirect
1;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id11;Женский;20;Неоконченное высшее;Прочее;sentence8.1; - ;17A;indirect
3;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id12;Мужской;26;Среднее общее;Прочее;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id13;Женский;20;Неоконченное высшее;Медицина;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id14;Женский;20;Неоконченное высшее;Медицина;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id15;Женский;21;Неоконченное высшее;Преподавание;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id16;Женский;21;Неоконченное высшее;Медицина;sentence8.1; - ;17A;indirect
2;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id17;Мужской;20;Неоконченное высшее;Прочее;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id18;Женский;20;Неоконченное высшее;Медицина;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id19;Мужской;23;Среднее профессиональное;Искусство;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id20;Мужской;24;Высшее;Химическая промышленность;sentence8.1; - ;17A;indirect
2;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id21;Женский;24;Высшее;Медицина;sentence8.1; - ;17A;indirect
4;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence8.1; - ;17A;indirect
2;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id23;Мужской;30;Высшее;Маркетинг;sentence8.1; - ;17A;indirect
5;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id24;Женский;29;Высшее;IT;sentence8.1; - ;17A;indirect
2;стимул;вопрос;single;адъюнкт-аргумент;аргумент+адъюнкт;да;id25;Мужской;30;Высшее;IT;sentence8.1; - ;17A;indirect
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence12.1; - ;5A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence12.1; - ;5A;direct
4;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id5;Женский;27;Высшее;Преподавание;sentence12.1; - ;5A;direct
3;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence12.1; - ;5A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id8;Женский;20;Среднее общее;Учеба;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence12.1; - ;5A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id12;Мужской;26;Среднее общее;Прочее;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence12.1; - ;5A;direct
4;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence12.1; - ;5A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id19;Мужской;23;Среднее профессиональное;Искусство;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id20;Мужской;24;Высшее;Химическая промышленность;sentence12.1; - ;5A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id21;Женский;24;Высшее;Медицина;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence12.1; - ;5A;direct
1;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id23;Мужской;30;Высшее;Маркетинг;sentence12.1; - ;5A;direct
5;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id24;Женский;29;Высшее;IT;sentence12.1; - ;5A;direct
2;стимул;вопрос;single;X аргумент -Y аргумент;2 аргумента;нет;id25;Мужской;30;Высшее;IT;sentence12.1; - ;5A;direct
3;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id2;Мужской;20;Неоконченное высшее;IT;sentence14.1; - ;7A;indirect
1;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id3;Мужской;23;Среднее профессиональное;IT;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id4;Мужской;20;Неоконченное высшее;Химическая промышленность;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id5;Женский;27;Высшее;Преподавание;sentence14.1; - ;7A;indirect
2;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id6;Мужской;25;Высшее;Инженерное дело;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id7;Женский;20;Неоконченное высшее;Экономика;sentence14.1; - ;7A;indirect
1;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id8;Женский;20;Среднее общее;Учеба;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id9;Мужской;20;Неоконченное высшее;Учеба;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id10;Мужской;20;Среднее профессиональное;МЧС;sentence14.1; - ;7A;indirect
1;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id11;Женский;20;Неоконченное высшее;Прочее;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id12;Мужской;26;Среднее общее;Прочее;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id13;Женский;20;Неоконченное высшее;Медицина;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id14;Женский;20;Неоконченное высшее;Медицина;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id15;Женский;21;Неоконченное высшее;Преподавание;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id16;Женский;21;Неоконченное высшее;Медицина;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id17;Мужской;20;Неоконченное высшее;Прочее;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id18;Женский;20;Неоконченное высшее;Медицина;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id19;Мужской;23;Среднее профессиональное;Искусство;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id20;Мужской;24;Высшее;Химическая промышленность;sentence14.1; - ;7A;indirect
4;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id21;Женский;24;Высшее;Медицина;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id22;Мужской;22;Среднее профессиональное;Преподавание;sentence14.1; - ;7A;indirect
2;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id23;Мужской;30;Высшее;Маркетинг;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id24;Женский;29;Высшее;IT;sentence14.1; - ;7A;indirect
3;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;нет;id25;Мужской;30;Высшее;IT;sentence14.1; - ;7A;indirect
5;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id1;Мужской;20;Неоконченное среднее профессиональное;IT;sentence16.1; - ;3A;indirect
3;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id2;Мужской;20;Неоконченное высшее;IT;sentence16.1; - ;3A;indirect
1;стимул;вопрос;single;Y аргумент - X аргумент;2 аргумента;да;id3;Мужской;23;Среднее профессиональное;IT;sentence16.1; - ;3A;indirect
